Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Notes,ID,Currency conversion fee,Currency (Currency conversion fee)
Deposit,2021-07-26 09:04:00.000,,,,,,,,,,1000,GBP,,,,,,
Market buy,2021-07-28 13:00:00.000,US0378331005,AAPL,Apple,10.13713692,144.6,USD,1.38588,,,1062.45,GBP,,,,,4.76,GBP
Deposit,2021-07-28 13:00:00.000,,,,,,,,,,500,GBP,,,,,,
Market buy,2021-07-29 14:08:00.000,US5949181045,MSFT,Microsoft,10.00246544,287.98,USD,1.3967,,,2071.65,GBP,,,,,9.28,GBP
Dividend (Dividends paid by us corporations),2021-08-12 02:30:00.000,,AAPL,Apple,10.13713692,,USD,Not available,,,1.37,GBP,,USD,,,,
Market buy,2021-08-25 13:35:00.000,US0378331005,AAPL,Apple,9.09199546,149.79,USD,1.37009,,,998.48,GBP,,,,,4.47,GBP
Market buy,2021-08-25 13:46:00.000,US83088M1027,SWKS,Skyworks,11.21263989,182.28,USD,1.37074,,,1497.76,GBP,,,,,6.71,GBP
Market sell,2021-08-25 13:50:00.000,US5949181045,MSFT,Microsoft,10.00246544,301.6,USD,1.37047,,,2191.34,GBP,,,,,9.91,GBP
Market sell,2021-09-02 17:53:00.000,US0378331005,AAPL,Apple,19.22913238,152.57,USD,1.38341,,,2111.16,GBP,,,,,9.54,GBP
Dividend (Dividends paid by us corporations),2021-09-09 09:05:00.000,,MSFT,Microsoft,10.00246544,,USD,Not available,,,3.44,GBP,,USD,,,,
Market buy,2021-09-20 14:38:00.000,US83088M1027,SWKS,Skyworks,3.97500146,170.81,USD,1.36613,,,499.25,GBP,,,,,2.24,GBP
Market sell,2021-11-16 20:43:00.000,US83088M1027,SWKS,Skyworks,8.3,163.86,USD,1.34273,,,1008.33,GBP,,,,,4.56,GBP
Interest on cash,2022-02-15 00:00:00.000,,,,,,,,,,0.7,GBP,,,,,,
Interest on cash,2022-03-15 00:00:00.000,,,,,,,,,,0.39,GBP,,,,,,
Market buy,2023-05-08 17:08:00.000,US70450Y1038,PYPL,PayPal,4.13171759,75.918548,USD,1.26413,,,249.59,GBP,,,,,1.46,GBP
Market buy,2023-05-12 18:11:00.000,US5949181045,MSFT,Microsoft,2.95081184,104.698983,USD,1.245,,,249.61,GBP,,,,,1.46,GBP
Withdrawal,2023-07-03 19:54:31.000,,,,,,,,,,250.31,GBP,,,,,,
