Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Notes,ID,Currency conversion fee,Currency (Currency conversion fee),Stamp duty (GBP)
Deposit,2021-03-02 09:04:00.000,,,,,,,,,,6000,GBP,,,,,,,
Market buy,2021-04-07 14:11:00.000,US0378331005,AAPL,Apple,20.13713692,133.25505,USD,1.38588,,,1940.99,GBP,,,,,4.76,GBP,
Market buy,2021-06-05 14:35:00.000,US0378331005,AAPL,Apple,9.09199546,149.79,USD,1.37009,,,998.48,GBP,,,,,4.47,GBP,
Market buy,2021-06-11 20:08:00.000,US5949181045,MSFT,Microsoft,15.00246544,251.666018108,USD,1.3967,,,2715.44,GBP,,,,,12.20,GBP,
Deposit,2021-07-28 08:29:42.000,,,,,,,,,,4000,GBP,,,,,,,
Market buy,2021-08-12 16:46:00.000,US83088M1027,SWKS,Skyworks,11.21263989,182.28,USD,1.37074,,,1497.76,GBP,,,,,6.71,GBP,
Market sell,2021-08-25 18:50:00.000,US5949181045,MSFT,Microsoft,13.00246544,311.193640995,USD,1.37047,,,2939.35,GBP,,,,,13.13,GBP,
Market buy,2021-08-26 15:01:00.000,GB00BLDYK618,SMT,SMT,176,13.49295455,GBP,1.00000,,,2386.66,GBP,,,,,0.0,GBP,11.90
Market sell,2021-09-01 17:46:00.000,US83088M1027,SWKS,Skyworks,1.245848877,168.57,USD,1.37074,,,152.47,GBP,,,,,0.74,GBP,
Market sell,2021-09-13 09:08:00.000,GB00BLDYK618,SMT,SMT,88.00000000,13.96552163,GBP,1.00000,,,1228.97,GBP,,,,,0.0,GBP,
Market buy,2021-09-13 14:08:00.000,GB00BLDYK618,SMT,SMT,34.00000000,13.02552161,GBP,1.00000,,,443.65,GBP,,,,,0.0,GBP,0.78
Market buy,2021-09-26 13:01:00.000,GB00BLDYK618,SMT,SMT,40,12.05274245,GBP,1.00000,,,482.67,GBP,,,,,0.0,GBP,0.56
Interest on cash,2021-10-15 00:00:00.000,,,,,,,,,,1.7,GBP,,,,,,,
Market sell,2021-11-02 19:53:00.000,US0378331005,AAPL,Apple,26.22913238,192.689760746,USD,1.38341,,,3643.81,GBP,,,,,9.54,GBP,
Interest on cash,2022-01-15 00:00:00.000,,,,,,,,,,1.59,GBP,,,,,,,
Market sell,2022-01-27 13:46:00.000,US83088M1027,SWKS,Skyworks,1.245848877,195.987567472,USD,1.37074,,,177.34,GBP,,,,,0.79,GBP,
Dividend (Dividends paid by us corporations),2022-02-12 02:30:00.000,US0378331005,AAPL,Apple,10.13713692,,USD,Not available,,,1.37,GBP,,USD,,,,,
Withdrawal,2022-02-24 19:54:31.000,,,,,,,,,,400,GBP,,,,,,,
Dividend (Dividends paid by us corporations),2022-03-09 09:05:00.000,US5949181045,MSFT,Microsoft,10.00246544,,USD,Not available,,,3.44,GBP,,USD,,,,,
Dividend (Dividends paid by us corporations),2022-03-15 15:45:00.000,US83088M1027,SWKS,Skyworks,6.88764135,,USD,Not available,,,2.50,GBP,,USD,,,,,
